"date","votingId","legislatorId","legislator","party","region","vote","profileUrl","photoUrl"
"2017-03-29",202,365,"RODRÍGUEZ SAÁ, ADOLFO","JUSTICIALISTA SAN LUIS","SAN LUIS","AFIRMATIVO","/senadores/senador/365","/bundles/senadosenadores/images/fsena/365.png"
"2017-03-29",202,35,"ROMERO, JUAN CARLOS","JUSTICIALISTA 8 DE OCTUBRE","SALTA","AFIRMATIVO","/senadores/senador/35","/bundles/senadosenadores/images/fsena/35.png"
"2017-03-29",202,436,"ROZAS, ÁNGEL","UNIÓN CÍVICA RADICAL","CHACO","AFIRMATIVO","/senadores/senador/436","/bundles/senadosenadores/images/fsena/436.png"
"2017-03-29",202,470,"SACNUN, MARÍA DE LOS ÁNGELES","FRENTE PARA LA VICTORIA - PJ","SANTA FE","AFIRMATIVO","/senadores/senador/470","/bundles/senadosenadores/images/fsena/470.png"
"2017-03-29",202,443,"URTUBEY, RODOLFO JULIO","JUSTICIALISTA","SALTA","AFIRMATIVO","/senadores/senador/443","/bundles/senadosenadores/images/fsena/443.png"
"2017-03-29",202,476,"VARELA, MARTA","FRENTE PRO","CIUDAD AUTÓNOMA de BUENOS AIRES","AFIRMATIVO","/senadores/senador/476","/bundles/senadosenadores/images/fsena/476.png"
"2017-03-29",202,467,"VERASAY, PAMELA FERNANDA","UNIÓN CÍVICA RADICAL","MENDOZA","AFIRMATIVO","/senadores/senador/467","/bundles/senadosenadores/images/fsena/467.png"
"2017-03-29",203,327,"ALPEROVICH, JOSÉ JORGE","PERONISMO TUCUMAN","TUCUMÁN","AUSENTE","/senadores/senador/327","/bundles/senadosenadores/images/fsena/327.png"
"2017-03-29",203,460,"CASERIO, CARLOS ALBERTO","JUSTICIALISTA","CÓRDOBA","AUSENTE","/senadores/senador/460","/bundles/senadosenadores/images/fsena/460.png"
"2017-03-29",203,440,"CREXELL, CARMEN LUCILA","MOVIMIENTO POPULAR NEUQUINO","NEUQUÉN","AUSENTE","/senadores/senador/440","/bundles/senadosenadores/images/fsena/440.png"
"2017-03-29",203,382,"FUENTES, MARCELO JORGE","FRENTE PARA LA VICTORIA - PJ","NEUQUÉN","AUSENTE","/senadores/senador/382","/bundles/senadosenadores/images/fsena/382.png"
"2017-03-29",203,421,"GIMÉNEZ, SANDRA DANIELA","MISIONES","MISIONES","AUSENTE","/senadores/senador/421","/bundles/senadosenadores/images/fsena/421.png"
"2017-03-29",203,442,"ODARDA, MARÍA MAGDALENA","RIO - FRENTE PROGRESISTA","RÍO NEGRO","AUSENTE","/senadores/senador/442","/bundles/senadosenadores/images/fsena/442.png"
"2017-03-29",203,435,"PILATTI VERGARA, MARÍA INÉS","FRENTE PARA LA VICTORIA - PJ","CHACO","AUSENTE","/senadores/senador/435","/bundles/senadosenadores/images/fsena/435.png"
"2017-03-29",203,232,"REUTEMANN, CARLOS ALBERTO","SANTA FE FEDERAL","SANTA FE","AUSENTE","/senadores/senador/232","/bundles/senadosenadores/images/fsena/232.png"
"2017-03-29",203,364,"RIOFRÍO, MARINA RAQUEL","PJ FRENTE PARA LA VICTORIA","SAN JUAN","AUSENTE","/senadores/senador/364","/bundles/senadosenadores/images/fsena/364.png"
"2017-03-29",203,365,"RODRÍGUEZ SAÁ, ADOLFO","JUSTICIALISTA SAN LUIS","SAN LUIS","AUSENTE","/senadores/senador/365","/bundles/senadosenadores/images/fsena/365.png"
"2017-03-29",203,433,"SOLANAS, FERNANDO EZEQUIEL","PROYECTO SUR-UNEN","CIUDAD AUTÓNOMA de BUENOS AIRES","AUSENTE","/senadores/senador/433","/bundles/senadosenadores/images/fsena/433.png"
"2017-03-29",203,450,"ZAMORA, GERARDO","FRENTE CÍVICO POR SANTIAGO","SANTIAGO DEL ESTERO","AUSENTE","/senadores/senador/450","/bundles/senadosenadores/images/fsena/450.png"
"2017-03-29",203,452,"ABAL MEDINA, JUAN MANUEL","PJ FRENTE PARA LA VICTORIA","BUENOS AIRES","AFIRMATIVO","/senadores/senador/452","/bundles/senadosenadores/images/fsena/452.png"
"2017-03-29",203,434,"AGUILAR, EDUARDO ALBERTO","JUSTICIALISTA","CHACO","AFIRMATIVO","/senadores/senador/434","/bundles/senadosenadores/images/fsena/434.png"
"2017-03-29",203,419,"AGUIRRE, HILDA CLELIA","PJ FRENTE PARA LA VICTORIA","LA RIOJA","AFIRMATIVO","/senadores/senador/419","/bundles/senadosenadores/images/fsena/419.png"
"2017-03-29",203,462,"ALMIRÓN, ANA CLAUDIA","FRENTE PARA LA VICTORIA - PJ","CORRIENTES","AFIRMATIVO","/senadores/senador/462","/bundles/senadosenadores/images/fsena/462.png"
"2017-03-29",203,418,"BARRIONUEVO, WALTER BASILIO","PJ FRENTE PARA LA VICTORIA","JUJUY","AFIRMATIVO","/senadores/senador/418","/bundles/senadosenadores/images/fsena/418.png"
"2017-03-29",203,362,"BASUALDO, ROBERTO GUSTAVO","PRODUCCIÓN Y TRABAJO","SAN JUAN","AFIRMATIVO","/senadores/senador/362","/bundles/senadosenadores/images/fsena/362.png"
"2017-03-29",203,427,"BLAS, INÉS IMELDA","JUSTICIALISTA","CATAMARCA","AFIRMATIVO","/senadores/senador/427","/bundles/senadosenadores/images/fsena/427.png"
"2017-03-29",203,453,"BOYADJIAN, MIRIAM RUTH","MOVIMIENTO POPULAR FUEGUINO","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AFIRMATIVO","/senadores/senador/453","/bundles/senadosenadores/images/fsena/453.png"
"2017-03-29",203,463,"BRAILLARD POCCARD, NÉSTOR PEDRO","FRENTE PRO","CORRIENTES","AFIRMATIVO","/senadores/senador/463","/bundles/senadosenadores/images/fsena/463.png"
"2017-03-29",203,422,"CABRAL, SALVADOR","PJ FRENTE PARA LA VICTORIA","MISIONES","AFIRMATIVO","/senadores/senador/422","/bundles/senadosenadores/images/fsena/422.png"
"2017-03-29",203,337,"CASTILLO, OSCAR ANÍBAL","FRENTE CÍVICO Y SOCIAL DE CATAMARCA","CATAMARCA","AFIRMATIVO","/senadores/senador/337","/bundles/senadosenadores/images/fsena/337.png"
"2017-03-29",203,448,"CATALÁN MAGNI, JULIO CÉSAR","JUSTICIALISTA","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AFIRMATIVO","/senadores/senador/448","/bundles/senadosenadores/images/fsena/448.png"
"2017-03-29",203,466,"COBOS, JULIO CÉSAR CLETO","UNIÓN CÍVICA RADICAL","MENDOZA","AFIRMATIVO","/senadores/senador/466","/bundles/senadosenadores/images/fsena/466.png"
"2017-03-29",203,438,"DE ANGELI, ALFREDO LUIS","FRENTE PRO","ENTRE RÍOS","AFIRMATIVO","/senadores/senador/438","/bundles/senadosenadores/images/fsena/438.png"
"2017-03-29",203,465,"DURANGO, NORMA HAYDÉE","PARTIDO JUSTICIALISTA LA PAMPA","LA PAMPA","AFIRMATIVO","/senadores/senador/465","/bundles/senadosenadores/images/fsena/465.png"
"2017-03-29",203,451,"ELÍAS DE PEREZ, SILVIA BEATRIZ","UNIÓN CÍVICA RADICAL","TUCUMÁN","AFIRMATIVO","/senadores/senador/451","/bundles/senadosenadores/images/fsena/451.png"
"2017-03-29",203,461,"ESPÍNOLA, CARLOS MAURICIO","JUSTICIALISTA","CORRIENTES","AFIRMATIVO","/senadores/senador/461","/bundles/senadosenadores/images/fsena/461.png"
"2017-03-29",203,356,"FELLNER, LILIANA BEATRIZ","PJ FRENTE PARA LA VICTORIA","JUJUY","AFIRMATIVO","/senadores/senador/356","/bundles/senadosenadores/images/fsena/356.png"
"2017-03-29",203,468,"FERNÁNDEZ SAGASTI, ANABEL","FRENTE PARA LA VICTORIA - PJ","MENDOZA","AFIRMATIVO","/senadores/senador/468","/bundles/senadosenadores/images/fsena/468.png"
"2017-03-29",203,444,"FIORE VIÑUALES, MARÍA CRISTINA DEL VALLE","PARES","SALTA","AFIRMATIVO","/senadores/senador/444","/bundles/senadosenadores/images/fsena/444.png"
"2017-03-29",203,441,"GARCÍA LARRABURU, SILVINA MARCELA","FRENTE PARA LA VICTORIA - PJ","RÍO NEGRO","AFIRMATIVO","/senadores/senador/441","/bundles/senadosenadores/images/fsena/441.png"
"2017-03-29",203,474,"GARCÍA, VIRGINIA MARÍA","PJ FRENTE PARA LA VICTORIA","SANTA CRUZ","AFIRMATIVO","/senadores/senador/474","/bundles/senadosenadores/images/fsena/474.png"
"2017-03-29",203,473,"GIACOPPO, SILVIA DEL ROSARIO","UNIÓN CÍVICA RADICAL","JUJUY","AFIRMATIVO","/senadores/senador/473","/bundles/senadosenadores/images/fsena/473.png"
"2017-03-29",203,424,"GODOY, RUPERTO EDUARDO","PJ FRENTE PARA LA VICTORIA","SAN JUAN","AFIRMATIVO","/senadores/senador/424","/bundles/senadosenadores/images/fsena/424.png"
"2017-03-29",203,456,"GONZÁLEZ, NANCY SUSANA","FRENTE PARA LA VICTORIA - PJ","CHUBUT","AFIRMATIVO","/senadores/senador/456","/bundles/senadosenadores/images/fsena/456.png"
"2017-03-29",203,379,"GUASTAVINO, PEDRO GUILLERMO ÁNGEL","JUSTICIALISTA","ENTRE RÍOS","AFIRMATIVO","/senadores/senador/379","/bundles/senadosenadores/images/fsena/379.png"
"2017-03-29",203,423,"IRRAZÁBAL, JUAN MANUEL","PJ FRENTE PARA LA VICTORIA","MISIONES","AFIRMATIVO","/senadores/senador/423","/bundles/senadosenadores/images/fsena/423.png"
"2017-03-29",203,389,"ITÚRREZ DE CAPPELLINI, ADA ROSA DEL VALLE","FRENTE CÍVICO POR SANTIAGO","SANTIAGO DEL ESTERO","AFIRMATIVO","/senadores/senador/389","/bundles/senadosenadores/images/fsena/389.png"
"2017-03-29",203,437,"KUNATH, SIGRID ELISABETH","JUSTICIALISTA","ENTRE RÍOS","AFIRMATIVO","/senadores/senador/437","/bundles/senadosenadores/images/fsena/437.png"
"2017-03-29",203,426,"LABADO, MARÍA ESTER","PJ FRENTE PARA LA VICTORIA","SANTA CRUZ","AFIRMATIVO","/senadores/senador/426","/bundles/senadosenadores/images/fsena/426.png"
"2017-03-29",203,350,"LEGUIZAMÓN, MARÍA LAURA","PJ FRENTE PARA LA VICTORIA","BUENOS AIRES","AFIRMATIVO","/senadores/senador/350","/bundles/senadosenadores/images/fsena/350.png"
"2017-03-29",203,415,"LINARES, JAIME","GEN","BUENOS AIRES","AFIRMATIVO","/senadores/senador/415","/bundles/senadosenadores/images/fsena/415.png"
"2017-03-29",203,464,"LOVERA, DANIEL ANÍBAL","PARTIDO JUSTICIALISTA LA PAMPA","LA PAMPA","AFIRMATIVO","/senadores/senador/464","/bundles/senadosenadores/images/fsena/464.png"
"2017-03-29",203,457,"LUENZO, ALFREDO HÉCTOR","CHUBUT SOMOS TODOS","CHUBUT","AFIRMATIVO","/senadores/senador/457","/bundles/senadosenadores/images/fsena/457.png"
"2017-03-29",203,420,"LUNA, MIRTHA MARÍA TERESITA","PJ FRENTE PARA LA VICTORIA","LA RIOJA","AFIRMATIVO","/senadores/senador/420","/bundles/senadosenadores/images/fsena/420.png"
"2017-03-29",203,344,"MARINO, JUAN CARLOS","UNIÓN CÍVICA RADICAL","LA PAMPA","AFIRMATIVO","/senadores/senador/344","/bundles/senadosenadores/images/fsena/344.png"
"2017-03-29",203,367,"MARTÍNEZ, ALFREDO ANSELMO","UNIÓN CÍVICA RADICAL","SANTA CRUZ","AFIRMATIVO","/senadores/senador/367","/bundles/senadosenadores/images/fsena/367.png"
"2017-03-29",203,459,"MARTÍNEZ, ERNESTO FÉLIX","FRENTE PRO","CÓRDOBA","AFIRMATIVO","/senadores/senador/459","/bundles/senadosenadores/images/fsena/459.png"
"2017-03-29",203,294,"MAYANS, JOSÉ MIGUEL ÁNGEL","PJ FRENTE PARA LA VICTORIA","FORMOSA","AFIRMATIVO","/senadores/senador/294","/bundles/senadosenadores/images/fsena/294.png"
"2017-03-29",203,357,"MENEM, CARLOS SAÚL","FEDERALISMO Y LIBERACIÓN","LA RIOJA","AFIRMATIVO","/senadores/senador/357","/bundles/senadosenadores/images/fsena/357.png"
"2017-03-29",203,454,"MERA, DALMACIO","JUSTICIALISTA","CATAMARCA","AFIRMATIVO","/senadores/senador/454","/bundles/senadosenadores/images/fsena/454.png"
"2017-03-29",203,471,"MIRKIN, BEATRIZ GRACIELA","PERONISMO TUCUMAN","TUCUMÁN","AFIRMATIVO","/senadores/senador/471","/bundles/senadosenadores/images/fsena/471.png"
"2017-03-29",203,446,"MONTENEGRO, GERARDO ANTENOR","FRENTE POPULAR","SANTIAGO DEL ESTERO","AFIRMATIVO","/senadores/senador/446","/bundles/senadosenadores/images/fsena/446.png"
"2017-03-29",203,266,"NEGRE DE ALONSO, LILIANA TERESITA","JUSTICIALISTA SAN LUIS","SAN LUIS","AFIRMATIVO","/senadores/senador/266","/bundles/senadosenadores/images/fsena/266.png"
"2017-03-29",203,475,"OJEDA, JOSÉ ANATOLIO","JUSTICIALISTA","TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR","AFIRMATIVO","/senadores/senador/475","/bundles/senadosenadores/images/fsena/475.png"
"2017-03-29",203,455,"PAIS, JUAN MARIO","JUSTICIALISTA CHUBUT","CHUBUT","AFIRMATIVO","/senadores/senador/455","/bundles/senadosenadores/images/fsena/455.png"
"2017-03-29",203,439,"PEREYRA, GUILLERMO JUAN","MOVIMIENTO POPULAR NEUQUINO","NEUQUÉN","AFIRMATIVO","/senadores/senador/439","/bundles/senadosenadores/images/fsena/439.png"
"2017-03-29",203,469,"PEROTTI, OMAR ÁNGEL","JUSTICIALISTA","SANTA FE","AFIRMATIVO","/senadores/senador/469","/bundles/senadosenadores/images/fsena/469.png"
"2017-03-29",203,355,"PETCOFF NAIDENOFF, LUIS CARLOS","UNIÓN CÍVICA RADICAL","FORMOSA","AFIRMATIVO","/senadores/senador/355","/bundles/senadosenadores/images/fsena/355.png"
"2017-03-29",203,311,"PICHETTO, MIGUEL ÁNGEL","JUSTICIALISTA","RÍO NEGRO","AFIRMATIVO","/senadores/senador/311","/bundles/senadosenadores/images/fsena/311.png"
"2017-03-29",203,472,"PINEDO, FEDERICO","FRENTE PRO","CIUDAD AUTÓNOMA de BUENOS AIRES","AFIRMATIVO","/senadores/senador/472","/bundles/senadosenadores/images/fsena/472.png"
"2017-03-29",203,370,"PÉRSICO, DANIEL RAÚL","PJ FRENTE PARA LA VICTORIA","SAN LUIS","AFIRMATIVO","/senadores/senador/370","/bundles/senadosenadores/images/fsena/370.png"
